system	title	rom
GB	Mickey's Dangerous Chase	Mickey's Dangerous Chase (U) [!].gb
GB	Mickey's Ultimate Challenge	Mickey's Ultimate Challenge (U).gb
GB	Micro Machines	Micro Machines (E) [!].gb
GB	Micro Machines 2	Micro Machines 2 (U).gb
GB	Mighty Morphin Power Rangers	Mighty Morphin Power Rangers (U) [S][!].gb
GB	Mighty Morphin Power Rangers - The Movie	Mighty Morphin Power Rangers - The Movie (U) [S].gb
GB	Milon's Secret Castle	Milon's Secret Castle (U) [!].gb
GB	Miner 2049er	Miner 2049er (U) [!].gb
GB	Minesweeper	Minesweeper (J).gb
GB	Mini Putt	Mini Putt (J).gb
GB	Miracle Adventure of Esparks	Miracle Adventure of Esparks (J).gb
GB	Missile Command	Missile Command (U) [M][!].gb
GB	Mogura De Pon!	Mogura De Pon! (J).gb
GB	Mole Mania	Mole Mania (U) [S][!].gb
GB	Momotarou Dengeki	Momotarou Dengeki (J) [T+Eng0.91_Toma].gb
GB	Momotarou Dengeki 2	Momotarou Dengeki 2 (J) [S].gb
GB	Monopoly	Monopoly (U) [M][!].gb
GB	Monster Max	Monster Max (U) (M6).gb
GB	Monster Truck	Monster Truck (J).gb
GB	Monster Truck Wars	Monster Truck Wars (U) [!].gb
GB	Montezuma's Return	Montezuma's Return (E) (M5) [M][!].gb
GB	Mortal Kombat	Mortal Kombat (U) [!].gb
GB	Mortal Kombat 3	Mortal Kombat 3 (U) [!].gb
GB	Mortal Kombat II	Mortal Kombat II (U) [!].gb
GB	Motocross Maniacs	Motocross Maniacs (U) [!].gb
GB	Mousetrap Hotel	Mousetrap Hotel (U).gb
GB	Mr Nutz	Mr Nutz (U).gb
GB	Mr. Chin's Gourmet Paradise	Mr. Chin's Gourmet Paradise (U) [!].gb
GB	Mr. Do!	Mr. Do! (E) [!].gb
GB	Ms. Pac-Man	Ms. Pac-Man (U) [!].gb
GB	Muhammad Ali's Boxing	Muhammad Ali's Boxing (U).gb
GB	Musashi Road	Musashi Road (J).gb
GB	Mysterium	Mysterium (U).gb
GB	Mystical Ninja	Mystical Ninja (U) [S][!].gb
GB	Nail'N Scale	Nail'N Scale (U).gb
GB	Nakajima Satoru - F-1 Hero '91	Nakajima Satoru - F-1 Hero '91 (J).gb
GB	Namco Classics	Namco Classics (J).gb
GB	Namco Gallery Vol.1	Namco Gallery Vol.1 (J) [S].gb
GB	Namco Gallery Vol.2	Namco Gallery Vol.2 (J) [S].gb
GB	Namco Gallery Vol.3	Namco Gallery Vol.3 (J) [S].gb
GB	Navy Seals	Navy Seals (U) [!].gb
GB	NBA All Star Challenge	NBA All Star Challenge (U) [!].gb
GB	NBA All Star Challenge 2	NBA All Star Challenge 2 (U) [!].gb
GB	NBA Jam	NBA Jam (U) [!].gb
GB	NBA Jam - Tournament Edition	NBA Jam - Tournament Edition (UE) [!].gb
GB	NBA Live 96	NBA Live 96 (U) [S][!].gb
GB	Nectaris GB	Nectaris GB (J) [S][!].gb
GB	Nekojara	Nekojara (J).gb
GB	Nemesis	Nemesis (U) [!].gb
GB	Nettou Garou 2	Nettou Garou 2 (J) [S].gb
GB	New Chessmaster, The	New Chessmaster, The (J) (M2) [!].gb
GB	NFL Football	NFL Football (U) [!].gb
GB	NFL Quarterback Club	NFL Quarterback Club (U) [!].gb
GB	NFL Quarterback Club 2	NFL Quarterback Club 2 (U) [!].gb
GB	NFL Quarterback Club 96	NFL Quarterback Club 96 (U) [!].gb
GB	NHL Hockey '95	NHL Hockey '95 (U) [S][!].gb
GB	NHL Hockey '96	NHL Hockey '96 (U) [S][!].gb
GB	Nigel Mansell's World Championship '92	Nigel Mansell's World Championship '92 (U) [!].gb
GB	Nihon Daiyou Soccer	Nihon Daiyou Soccer (J) [S].gb
GB	Ninja Boy	Ninja Boy (U) [!].gb
GB	Ninja Boy 2	Ninja Boy 2 (U).gb
GB	Ninja Gaiden Shadow	Ninja Gaiden Shadow (U).gb
GB	Ninja Taro	Ninja Taro (U) [!].gb
GB	Ninku	Ninku (J) [S].gb
GB	Nintama Eawase	Nintama Eawase (J) [S].gb
GB	Nintendo World Cup	Nintendo World Cup (U) [!].gb
GB	NIV Bible	NIV Bible (Unl) [!].gb
GB	Nobunaga's Ambition	Nobunaga's Ambition (U) [!].gb
GB	Nontan to Issho - Kurukuru Puzzle	Nontan to Issho - Kurukuru Puzzle (J).gb
GB	Noobow	Noobow (J).gb
GB	Oddworld Adventures	Oddworld Adventures (UE) [!].gb
GB	Olympic Summer Games	Olympic Summer Games (U) [S].gb
GB	Operation C	Operation C (U) [!].gb
GB	Othello	Othello (UE) [!].gb
GB	Otto's Ottifanten	Otto's Ottifanten (E).gb
GB	Out of Gas	Out of Gas (U) [!].gb
GB	Out to Lunch	Out to Lunch (UE) [!].gb
GB	Pac-Attack	Pac-Attack (U).gb
GB	Pac-in-Time	Pac-in-Time (UE) [S][!].gb
GB	Pac-Man	Pac-Man (U) (Namco Hometek) [!].gb
GB	Pachio Kun	Pachio Kun (J).gb
GB	Pagemaster, The	Pagemaster, The (U) [S][!].gb
GB	Painter Momo Pie	Painter Momo Pie (J).gb
GB	Palamedes	Palamedes (UE) [!].gb
GB	Panel Action Bingo	Panel Action Bingo (U) [!].gb
GB	Pang	Pang (U).gb
GB	Paperboy	Paperboy (U) [M][!].gb
GB	Paperboy 2	Paperboy 2 (U) [!].gb
GB	Papuwakunn	Papuwakunn (J).gb
GB	Parasol Stars	Parasol Stars (UE) [!].gb
GB	Parodius	Parodius (UE) [!].gb
GB	Peetan	Peetan (J).gb
GB	Penguin Land	Penguin Land (J).gb
GB	Penguin Wars	Penguin Wars (U) [!].gb
GB	Penta Dragon	Penta Dragon (J) [T+Eng].gb
GB	PGA European Tour	PGA European Tour (U) [S][!].gb
GB	PGA Tour '96	PGA Tour '96 (U) [S].gb
GB	Phantom Air Mission	Phantom Air Mission (E) [!].gb
GB	Pinball - Revenge of the Gator	Pinball - Revenge of the Gator (U) [!].gb
GB	Pinball Deluxe	Pinball Deluxe (U).gb
GB	Pinball Dreams	Pinball Dreams (UE) [!].gb
GB	Pinball Fantasies	Pinball Fantasies (U).gb
GB	Pinball Mania	Pinball Mania (U).gb
GB	Pingu - Sekai de 1ban Genki na Penguin	Pingu - Sekai de 1ban Genki na Penguin (J).gb
GB	Pinocchio	Pinocchio (U) (1996) [!].gb
GB	Pipe Dream	Pipe Dream (U) [!].gb
GB	Pit Fighter	Pit Fighter (U) [!].gb
GB	Play Action Football	Play Action Football (U) [!].gb
GB	Pocahontas	Pocahontas (U) [S].gb
GB	Pocket Bomberman	Pocket Bomberman (U) [S].gb
GB	Pocket Densha	Pocket Densha (J) [S].gb
GB	Pocket Golf	Pocket Golf (J) [!].gb
GB	Pocket Mahjong	Pocket Mahjong (J).gb
GB	Pocket Puyo Puyo 2 Tsuu	Pocket Puyo Puyo 2 Tsuu (J) [S].gb
GB	Pocket Sonar	Pocket Sonar (J).gb
GB	Pocket Stadium	Pocket Stadium (J).gb
GB	Pokemon - Blue Version	Pokemon - Blue Version (UE) [S][!].gb
GB	Pokemon - Red Version	Pokemon - Red Version (UE) [S][!].gb
GB	Pokemon - Yellow Version	Pocket Monsters Yellow (J) (V1.0) [S][p1][T+Chi][!].gb
GB	Pokonyan! - Yume no Daibouken	Pokonyan! - Yume no Daibouken (J) [S].gb
GB	Ponta to Hinako no Chindouchuu - Yuutou Hen	Ponta to Hinako no Chindouchuu - Yuutou Hen (J).gb
GB	Pop 'N TwinBee	Pop 'N TwinBee (E) [!].gb
GB	Popeye	Popeye (J).gb
GB	Popeye 2	Popeye 2 (E) [!].gb
GB	Populous	Populous (UE) [!].gb
GB	Power Mission	Power Mission (U) [!].gb
GB	Power Pro GB	Power Pro GB (J) (V1.1) [S][!].gb
GB	Power Racer	Power Racer (U) [!].gb
GB	Prehistorik Man	Prehistorik Man (U).gb
GB	Pri Pri - Primitive Princess!	Pri Pri - Primitive Princess! (J).gb
GB	Primal Rage	Primal Rage (U) [!].gb
GB	Prince of Persia	Prince of Persia (E) (M5) [M][!].gb
GB	Pro Mahjong Kiwame GB	Pro Mahjong Kiwame GB (J) [S].gb
GB	Prophecy - The Viking Child	Prophecy - The Viking Child (U) [!].gb
GB	Punisher, The - The Ultimate Payback	Punisher, The - The Ultimate Payback (U) [!].gb
GB	Puyo Puyo	Puyo Puyo (J) [S].gb
GB	Puzznic	Puzznic (J).gb
GB	Pyramids of Ra	Pyramids of Ra (U).gb
GB	Q Billion	Q Billion (U) [!].gb
GB	Q-bert II	Q-bert II (UE) [!].gb
GB	Qix	Qix (JU) [!].gb
GB	Quarth	Quarth (U) [!].gb
GB	R-Type	R-Type (U) [!].gb
GB	R-Type II	R-Type II (U).gb
GB	Race Drivin'	Race Drivin' (U) [!].gb
GB	Racing Tamashii	Racing Tamashii (J) [!].gb
GB	Radar Mission	Radar Mission (UE) [!].gb
GB	Raging Fighter	Raging Fighter (UE) [!].gb
GB	Railway	Railway (Sachen 4-in-1 Vol. 5) (Unl) [!].gb
GB	Rampart	Rampart (U) [M][!].gb
GB	Rats!	Reservoir Rat (E) (M5) [M][!].gb
GB	Ray-Thunder	Ray-Thunder (J) [!].gb
GB	Real Bout Special	Real Bout Special (J) [S].gb
GB	Real Ghostbusters, The	Real Ghostbusters, The (U) [!].gb
GB	Ren & Stimpy Show, The - Space Cadet Adventures	Ren & Stimpy Show, The - Space Cadet Adventures (U) [!].gb
GB	Ren & Stimpy Show, The - Veediots!	Ren & Stimpy Show, The - Veediots! (U) [!].gb
GB	Renju Club	Renju Club (J) [S].gb
GB	Riddick Bowe Boxing	Riddick Bowe Boxing (E) [!].gb
GB	Ring Rage	Ring Rage (U) [!].gb
GB	Road Rash	Road Rash (U) [M][!].gb
GB	Roadster	Roadster (J).gb
GB	Robin Hood - Prince of Thieves	Robin Hood - Prince of Thieves (U).gb
GB	Robocop	Robocop (U) (V1.0) [M][!].gb
GB	Robocop 2	Robocop 2 (U).gb
GB	RoboCop Vs. The Terminator	RoboCop Vs. The Terminator (U) [!].gb
GB	Rock'n Monster!!	Rock'n Monster!! (J) [S].gb
GB	Rodland	Rodland (U).gb
GB	Roger Clemens MVP Baseball	Roger Clemens MVP Baseball (U) [!].gb
GB	Rolan's Curse	Rolan's Curse (U) [!].gb
GB	Rolan's Curse II	Rolan's Curse II (U) [!].gb
GB	Rugrats Movie, The	Rugrats Movie, The (U) [S].gb
GB	Sagaia	Sagaia (J) [!].gb
GB	Same Game	Same Game (J) [S].gb
GB	Samurai Shodown	Samurai Shodown (U) [S].gb
GB	Sanrio Carnival	Sanrio Carnival (J) [T+Eng1.2_Six Feet Under].gb
GB	Sanrio Carnival 2	Sanrio Carnival 2 (J).gb
GB	SD Command Gundam - G-Arms	SD Command Gundam - G-Arms (J) [!].gb
GB	SD Hiryuu no Ken Gaiden	SD Hiryuu no Ken Gaiden (J) [S][!].gb
GB	SD Hiryuu no Ken Gaiden 2	SD Hiryuu no Ken Gaiden 2 (J) [S][!].gb
GB	SD Lupin III - Kinko Yaburi Daisakusen	SD Lupin III - Kinko Yaburi Daisakusen (J) [!].gb
GB	Sea Battle	Sea Battle (E) (M4).gb
GB	SeaQuest DSV	SeaQuest DSV (U) [S][!].gb
GB	Sensible Soccer - European Champions	Sensible Soccer - European Champions (E) [!].gb
GB	Serpent	Serpent (U) [!].gb
GB	Shanghai	Shanghai (U) [!].gb
GB	Shanghai Pocket	Shanghai Pocket (J) [S].gb
GB	Shaq Fu	Shaq Fu (U) [S][!].gb
GB	Shikinjou	Shikinjou (J).gb
GB	Shin Nihon Pro Wrestling Tokon Sanjushi	Shin Nihon Pro Wrestling Tokon Sanjushi (J).gb
GB	Shisenshou - Match-Mania	Shisenshou - Match-Mania (J).gb
GB	Side Pocket	Side Pocket (U) [!].gb
GB	Simpsons, The - Bart & the Beanstalk	Simpsons, The - Bart & the Beanstalk (U).gb
GB	Simpsons, The - Bart vs the Juggernauts	Simpsons, The - Bart vs the Juggernauts (U) [!].gb
GB	Simpsons, The - Escape from Camp Deadly	Simpsons, The - Escape from Camp Deadly (U) [!].gb
GB	Skate or Die - Bad 'N Rad	Skate or Die - Bad 'N Rad (U) [!].gb
GB	Skate or Die - Tour de Thrash	Skate or Die - Tour de Thrash (U).gb
GB	Sky Ace	Sky Ace (Sachen 4-in-1 Vol. 7) (Unl) [!].gb
GB	Small Soldiers	Small Soldiers (U) [S][!].gb
GB	Smurfs 2, The	Smurfs 2, The (E) (M4).gb
GB	Smurfs 3, The	Smurfs 3, The (E) (M4) [!].gb
GB	Smurfs, The	Smurfs, The (UE) (V1.0) (M4) [!].gb
GB	Sneaky Snakes	Sneaky Snakes (UE) [!].gb
GB	Snoopy - Magic Show	Snoopy - Magic Show (U) [!].gb
GB	Snoopy no Hajimete no Otsukai	Snoopy no Hajimete no Otsukai (J) [S][!].gb
GB	Snow Bros. Jr.	Snow Bros. Jr. (U) [!].gb
GB	Soccer Mania	Soccer Mania (JU) [!].gb
GB	SolarStriker	SolarStriker (W) [!].gb
GB	Soldam	Soldam (J).gb
GB	Solitaire Funpak	Solitaire Funpak (U) [!].gb
GB	Solomon's Club	Solomon's Club (E) [!].gb
GB	Space Invaders (PD)	Space Invaders (PD).gb
GB	Space Invaders [S]	Space Invaders (E) [S][!].gb
GB	Spanky's Quest	Spanky's Quest (U) [!].gb
GB	Speedball 2 - Brutal Deluxe	Speedball 2 - Brutal Deluxe (UE) [!].gb
GB	Speedy Gonzales	Speedy Gonzales (U) [!].gb
GB	Spider-Man	Spider-Man (U) [T+Chi].gb
GB	Spider-Man and the X-Men in Arcade's Revenge	Spider-Man and the X-Men in Arcade's Revenge (U).gb
GB	Spiritual Warfare	Spiritual Warfare (Unl) [!].gb
GB	Spirou	Spirou (E) (M4) [S][!].gb
GB	Splitz	Splitz (UE) [!].gb
GB	Sports Illustrated - Football & Baseball	Sports Illustrated - Football & Baseball (U) [!].gb
GB	Sports Illustrated - Golf Classic	Sports Illustrated - Golf Classic (U) [!].gb
GB	Sports Illustrated for Kids - The Ultimate Triple Dare!	Sports Illustrated for Kids - The Ultimate Triple Dare! (U) [!].gb
GB	Spot	Spot (U) [!].gb
GB	Spot - The Cool Adventure	McDonaldland (U) [!].gb
GB	Spud's Adventure	Spud's Adventure (U).gb
GB	Spy vs. Spy - Operation Boobytrap	Spy vs. Spy - Operation Boobytrap (U) (1992) [!].gb
GB	Square Deal - The Game of Two Dimensional Poker	Square Deal - The Game of Two Dimensional Poker (U) [!].gb
GB	Star Hawk	Star Hawk (U) [!].gb
GB	Star Sweep	Star Sweep (J) [S].gb
GB	Star Trek - 25th Anniversary	Star Trek - 25th Anniversary (U) [!].gb
GB	Star Trek - Generations - Beyond the Nexus	Star Trek - Generations - Beyond the Nexus (U) [S][!].gb
GB	Star Trek - The Next Generation	Star Trek - The Next Generation (U) [!].gb
GB	Star Wars	Star Wars (U) (V1.1) [!].gb
GB	Star Wars - Super Return of the Jedi	Star Wars - Super Return of the Jedi (U) [S][!].gb
GB	Star Wars - The Empire Strikes Back	Star Wars - The Empire Strikes Back (E) [!].gb
GB	Stargate	Stargate (U) [!].gb
GB	Stop That Roach!	Stop That Roach! (U).gb
GB	Street Fighter II	Street Fighter II (UE) [S][!].gb
GB	Street Racer	Street Racer (U) [!].gb
GB	Street Rider	Street Rider (Sachen 4-in-1 Vol. 1) (Unl) [!].gb
GB	Sumo Fighter	Sumo Fighter (U) [!].gb
GB	Super B-Daman - Fighting Phoenix	Super B-Daman - Fighting Phoenix (J) [S].gb
GB	Super Battletank	Super Battletank (U) [!].gb
GB	Super Bikkuriman - Densetsu no Sekiban	Super Bikkuriman - Densetsu no Sekiban (J) [T+Eng].gb
GB	Super Black Bass	Super Black Bass (U) [!].gb
GB	Super Chase H.Q.	Super Chase H.Q. (UE) [!].gb
GB	Super Chinese Fighter GB	Super Chinese Fighter GB (J) [S].gb
GB	Super Hunchback	Super Hunchback (U).gb
GB	Super James Pond	Super James Pond (E) [!].gb
GB	Super Kick Off	Super Kick Off (E) (M5) [!].gb
GB	Super Mario Land	Super Mario Land (W) (V1.0) [!].gb
GB	Super Mario Land 2 - 6 Golden Coins	Super Mario Land 2 - 6 Golden Coins (UE) (V1.0) [!].gb
GB	Super Off Road	Super Off Road (U) [!].gb
GB	Super R.C. Pro-Am	Super R.C. Pro-Am (UE) [!].gb
GB	Super Robot Taisen	Super Robot Taisen (J) [T+Eng0.70_BioEncyst].gb
GB	Super Scrabble	Super Scrabble (U) [!].gb
GB	Super Street Basketball	Super Street Basketball (J).gb
GB	Super Street Basketball 2	Super Street Basketball 2 (J) [S].gb
GB	Superman	Superman (U) [S][!].gb
GB	Swamp Thing	Swamp Thing (U) [!].gb
GB	Sword of Hope II, The	Sword of Hope II, The (U) [!].gb
GB	Sword of Hope, The	Sword of Hope, The (U) [!].gb
GB	T2 - The Arcade Game	T2 - The Arcade Game (U) [!].gb
GB	Taikyoku Renju	Taikyoku Renju (J).gb
GB	Tail Gator	Tail Gator (U) [!].gb
GB	Taiyou no Tenshi Marlowe - Ohanabatake wa Dai-Panic	Taiyou no Tenshi Marlowe - Ohanabatake wa Dai-Panic (J) [T+Eng0.50_Evolutions].gb
GB	Taiyou no Yuusha - Firebird GB	Taiyou no Yuusha - Firebird GB (J).gb
GB	Tale Spin	Tale Spin (U).gb
GB	Tamagotchi	Tamagotchi (UE) [S][!].gb
GB	Tarzan	Tarzan (U) [!].gb
GB	Tasmania Story	Tasmania Story (U) [!].gb
GB	Taz-Mania	Taz-Mania (U) [!].gb
GB	Taz-Mania 2	Taz-Mania 2 (U) [!].gb
GB	Tecmo Bowl	Tecmo Bowl (U).gb
GB	Teenage Mutant Ninja Turtles - Back From the Sewers	Teenage Mutant Ninja Turtles - Back From the Sewers (U) [!].gb
GB	Teenage Mutant Ninja Turtles - Fall of the Foot Clan	Teenage Mutant Ninja Turtles - Fall of the Foot Clan (U) [!].gb
GB	Teenage Mutant Ninja Turtles III - Radical Rescue	Teenage Mutant Ninja Turtles III - Radical Rescue (U) [!].gb
GB	Tekkyu Fight! - The Great Battle Gaiden	Tekkyu Fight! - The Great Battle Gaiden (J).gb
GB	Tennis	Tennis (W) [!].gb
GB	Tensai Bakabon	Tensai Bakabon (J).gb
GB	Terminator 2 - Judgment Day	Terminator 2 - Judgment Day (UE) [!].gb
GB	Tesserae	Tesserae (U) [!].gb
GB	Tetris	Tetris (W) (V1.0) [!].gb
GB	Tetris 2	Tetris 2 (U) [!].gb
GB	Tetris Attack	Tetris Attack (U) (V1.0) [S][!].gb
GB	Tetris Blast	Tetris Blast (U) [S][!].gb
GB	Tetris Plus	Tetris Plus (U) [S][!].gb
GB	Tintin in Tibet	Tintin in Tibet (E) (M4) [S].gb
GB	Tiny Toon Adventures - Babs' Big Break	Tiny Toon Adventures - Babs' Big Break (E) [!].gb
GB	Tiny Toon Adventures - Wacky Sports	Tiny Toon Adventures - Wacky Sports (U) [!].gb
GB	Tiny Toon Adventures 2 - Montana's Movie Madness	Tiny Toon Adventures 2 - Montana's Movie Madness (U) [!].gb
GB	Tip Off	Tip Off (UE) [!].gb
GB	Titus the Fox	Titus the Fox (UE) [M][!].gb
GB	Tokoro Jr.	Tokoro Jr. (J) [S][!].gb
GB	Tom and Jerry	Tom and Jerry (U) [M][!].gb
GB	Tom and Jerry - Frantic Antics	Tom and Jerry - Frantic Antics (U).gb
GB	Top Gun - Guts & Glory	Top Gun - Guts & Glory (U) [!].gb
GB	Top Rank Tennis	Top Rank Tennis (U) [!].gb
GB	Torpedo Range	Torpedo Range (UE) [!].gb
GB	Total Carnage	Total Carnage (UE) [!].gb
GB	Tower of Druaga, The	Tower of Druaga, The (J).gb
GB	Toxic Crusaders	Toxic Crusaders (U).gb
GB	Toy Story	Toy Story (U) (V1.0) [S][!].gb
GB	Track & Field	Track & Field (U) [!].gb
GB	Track Meet	Track Meet (U).gb
GB	Trap & Turn	Trap & Turn (Sachen) [!].gb
GB	Trax	Trax (U) [!].gb
GB	Trip World	Trip World (E) [!].gb
GB	True Lies	True Lies (U) [!].gb
GB	Trump Boy	Trump Boy (J) [!].gb
GB	Trump Boy II	Trump Boy II (J).gb
GB	Trump Collection GB	Trump Collection GB (J).gb
GB	Tumble Pop	Tumble Pop (U) [!].gb
GB	Turn and Burn	Turn and Burn (U) [!].gb
GB	Turok - Battle of the Bionosaurs	Turok - Battle of the Bionosaurs (UE) (M4) [!].gb
GB	Turrican	Turrican (UE) [!].gb
GB	Twin	Twin (J) [!].gb
GB	Uchuu no Kishi Tekkaman Blade	Uchuu no Kishi Tekkaman Blade (J) [T+Eng].gb
GB	Ultima - Runes of Virtue	Ultima - Runes of Virtue (U) [!].gb
GB	Ultima - Runes of Virtue II	Ultima - Runes of Virtue II (U).gb
GB	Ultra Golf	Ultra Golf (U).gb
GB	Ultraman	Ultraman (J).gb
GB	Ultraman Ball	Ultraman Ball (J) [S][!].gb
GB	Ultraman Chou Toushi Gekiden	Ultraman Chou Toushi Gekiden (J) [S].gb
GB	Universal Soldier	Universal Soldier (U).gb
GB	Uno - Small World	Uno - Small World (J) [!].gb
GB	Uno 2 - Small World	Uno 2 - Small World (J) [S][!].gb
GB	Urban Strike	Urban Strike (U) [S][!].gb
GB	V-Rally - Championship Edition	V-Rally - Championship Edition (U) (M3) [M][!].gb
GB	Vattle Giuce	Vattle Giuce (J) [!].gb
GB	Vegas Stakes	Vegas Stakes (U) [S][!].gb
GB	Versus Hero - Kakutou Ou heno Michi	Versus Hero - Kakutou Ou heno Michi (J).gb
GB	Vex Block	Vex Block (Sachen) [!].gb
GB	Volley Fire	Volley Fire (J).gb
GB	WanWan (PD)	WanWan (PD).gb
GB	Wario Blast Featuring Bomberman!	Wario Blast Featuring Bomberman! (U) [S][!].gb
GB	Wario Land - Super Mario Land 3	Wario Land - Super Mario Land 3 (W) [!].gb
GB	Wario Land II	Wario Land II (UE) [S][!].gb
GB	Water World	Water World (E) [!].gb
GB	Wave Race	Wave Race (E) [!].gb
GB	Wayne's World	Wayne's World (U).gb
GB	WCW Main Event	WCW Main Event (U) [!].gb
GB	We're Back! - A Dinosaur's Story	We're Back! - A Dinosaur's Story (U) [!].gb
GB	Wedding Peach - Jamapii Panic	Wedding Peach - Jamapii Panic (J) [S][!].gb
GB	Wheel of Fortune	Wheel of Fortune (U) [!].gb
GB	Who Framed Roger Rabbit	Who Framed Roger Rabbit (U) [!].gb
GB	Wild Snake	Wild Snake (U) [S].gb
GB	Wizardry Gaiden 2 - Curse of the Ancient Emperor	Wizardry Gaiden 2 - Curse of the Ancient Emperor (J) [!].gb
GB	Wizardry Gaiden 3 - Scripture of the Dark	Wizardry Gaiden 3 - Scripture of the Dark (J) [!].gb
GB	Wizards & Warriors Chapter X - The Fortress of Fear	Wizards & Warriors Chapter X - The Fortress of Fear (E) [!].gb
GB	Wordtris	Wordtris (U) [!].gb
GB	WordZap	WordZap (U).gb
GB	World Beach Volleyball 1991 GB Cup	World Beach Volleyball 1991 GB Cup (J).gb
GB	World Bowling	World Bowling (U) [!].gb
GB	World Circuit Series	World Circuit Series (U).gb
GB	World Cup USA '94	World Cup USA '94 (UE) (M8) [!].gb
GB	World Heroes 2 Jet	World Heroes 2 Jet (U) [S][!].gb
GB	World Ice Hockey	World Ice Hockey (J).gb
GB	Worm Visitor	Worm Visitor (Sachen 4-in-1 Vol. 5) (Unl) [!].gb
GB	Worms	Worms (U) [!].gb
GB	WWF King of the Ring	WWF King of the Ring (U) [!].gb
GB	WWF Raw	WWF Raw (UE) [!].gb
GB	WWF Superstars	WWF Superstars (UE) [!].gb
GB	WWF Superstars 2	WWF Superstars 2 (UE) [!].gb
GB	WWF Warzone	WWF Warzone (U) [!].gb
GB	X	X (Tech Demo) (U) [!].gb
GB	Xenon 2 - Megablast	Xenon 2 - Megablast (U).gb
GB	XVII Olympic Winter Games, The - Lillehammer 1994	XVII Olympic Winter Games, The - Lillehammer 1994 (U).gb
GB	Yaiba	Yaiba (J) [!].gb
GB	Yakyuuman	Yakyuuman (J) (V1.0) [!].gb
GB	Yogi Bear in Yogi Bear's Goldrush	Yogi Bear in Yogi Bear's Goldrush (U) [!].gb
GB	Yoshi	Yoshi (U) [!].gb
GB	Yoshi's Cookie	Yoshi's Cookie (U) [!].gb
GB	Yuu Yuu Hakusho	Yuu Yuu Hakusho (J).gb
GB	Yuu Yuu Hakusho - Ankoku Bujutsu Kai	Yuu Yuu Hakusho - Ankoku Bujutsu Kai (J).gb
GB	Yuu Yuu Hakusho - Makai no Tobira	Yuu Yuu Hakusho - Makai no Tobira (J).gb
GB	Yuu Yuu Hakusho - Makai Touitsu	Yuu Yuu Hakusho - Makai Touitsu (J) [S].gb
GB	Zankurou Musouken	Zankurou Musouken (J) [S][!].gb
GB	Zen - Intergalactic Ninja	Zen - Intergalactic Ninja (U).gb
GB	Zen-Nippon Pro Wrestling Jet	Zen-Nippon Pro Wrestling Jet (J) [S].gb
GB	Zettai Muteki Raijinou	Zettai Muteki Raijinou (J) [T+Eng].gb
GB	Zipball	Zipball (Sachen 4-in-1 Vol. 9) (Unl) [!].gb
GB	Zoids Densetsu	Zoids Densetsu (J).gb
GB	Zoo Block	Zoo Block (Sachen) [!].gb
GB	Zool	Zool (U) [!].gb
GB	Zoop	Zoop (U) [!].gb
GBA	007 - Everything or Nothing	007 - Everything or Nothing (UE) (M3) [!].gba
GBA	007 - Nightfire	007 - Nightfire (UE) (M3) [!].gba
GBA	2 Games in 1 - Brother Bear & The Lion King	2 Games in 1 - Brother Bear & The Lion King (E) (M8).gba
GBA	2 Games in 1 - Columns Crown & Chu Chu Rocket!	2 Games in 1 - Columns Crown & Chu Chu Rocket! (E) (M5).gba
GBA	2 Games in 1 - Crash & Spyro Super Pack Volume 1 - Spyro - Season of Ice & Spyro - Season of Flame	2 Games in 1 - Crash & Spyro Super Pack Volume 1 - Spyro - Season of Ice & Spyro - Season of Flame (E) (M6).gba
GBA	2 Games in 1 - Crash & Spyro Super Pack Volume 2 - Spyro 2 - Season of Flame & Crash Nitro Kart	2 Games in 1 - Crash & Spyro Super Pack Volume 2 - Spyro 2 - Season of Flame & Crash Nitro Kart (E) (M6).gba
GBA	2 Games in 1 - Crash & Spyro Super Pack Volume 3 - Crash Bandicoot - Fusion & Spyro - Fusion	2 Games in 1 - Crash & Spyro Super Pack Volume 3 - Crash Bandicoot - Fusion & Spyro - Fusion (E) (M5).gba
GBA	2 Games in 1 - Disney Princess & Brother Bear	2 Games in 1 - Disney Princess & Brother Bear (E) (M8).gba
GBA	2 Games in 1 - Disney Princess & Lizzie McGuire	2 Games in 1 - Disney Princess & Lizzie McGuire (E).gba
GBA	2 Games in 1 - Disney's Finding Nemo & Finding Nemo - The Continuing Adventures	2 Games in 1 - Disney's Finding Nemo & Finding Nemo - The Continuing Adventures (E) (M1+M5).gba
GBA	2 Games in 1 - Disney's Finding Nemo & The Incredibles	2 Games in 1 - Alla Ricerca di Nemo & Gli Incredibili (E) (M2) (Ita-Spa).gba
GBA	2 Games in 1 - Disney's Sports Pack - Football & SkateBoarding	2 Games in 1 - Disney's Sports Pack - Football & SkateBoarding (E) (M5).gba
GBA	2 Games in 1 - Disney's The Lion King & Disney Princess	2 Games in 1 - Disney's The Lion King & Disney Princess (E) (M7).gba
GBA	2 Games in 1 - Gauntlet & Rampart	2 Games in 1 - Gauntlet & Rampart (E) (M5).gba
GBA	2 Games in 1 - GT Advance 3 - Pro Concept Racing & Moto GP	2 Games in 1 - GT Advance 3 - Pro Concept Racing & Moto GP (E) (M5).gba
GBA	2 Games in 1 - Hugo - Bukkazoom! & Hugo - The Evil Mirror Advance	2 Games in 1 - Hugo - Bukkazoom! & Hugo - The Evil Mirror Advance (E) (M12).gba
