system	title	rom
GB	Final Fantasy Adventure	Final Fantasy Adventure (U) [!].gb
GB	Final Fantasy Legend II	Final Fantasy Legend II (U) [!].gb
GB	Final Fantasy Legend III	Final Fantasy Legend III (U) [!].gb
GB	Final Fantasy Legend, The	Final Fantasy Legend, The (U) [!].gb
GB	Final Reverse	Final Reverse (J).gb
GB	Fire Dragon	Fire Dragon (Unl).gb
GB	Fire Fighter	Fire Fighter (U).gb
GB	Fish Dude	Fish Dude (U).gb
GB	Fist of the North Star	Fist of the North Star (U) [!].gb
GB	Flappy Special	Flappy Special (J).gb
GB	Flash, The	Flash, The (U) [!].gb
GB	Flintstones, The	Flintstones, The (U) [!].gb
GB	Flintstones, The - King Rock Treasure Island	Flintstones, The - King Rock Treasure Island (U).gb
GB	Flipull	Flipull (U) [!].gb
GB	Football International	Football International (U).gb
GB	Foreman for Real	Foreman for Real (U) [!].gb
GB	Fortified Zone	Fortified Zone (U) [!].gb
GB	Frank Thomas' Big Hurt Baseball	Frank Thomas' Big Hurt Baseball (U) [!].gb
GB	Frisky Tom	Frisky Tom (J) [S].gb
GB	Galaga & Galaxian	Galaga & Galaxian (U) [S][!].gb
GB	Game & Watch Gallery	Game & Watch Gallery (U) (V1.0) [S][!].gb
GB	Game & Watch Gallery 2	Game & Watch Gallery 2 (U) [S].gb
GB	Game of Harmony, The	Game of Harmony, The (U).gb
GB	Gameboy Gallery	Gameboy Gallery (U) [S].gb
GB	Gameboy Wars	Gameboy Wars (J).gb
GB	Gameboy Wars Turbo	Gameboy Wars Turbo (J) (Famitsu Magazine SE) [S].gb
GB	Gamera - Daikai Jukuchuu Kessen	Gamera - Daikai Jukuchuu Kessen (J) [S].gb
GB	Ganbare Goemon	Ganbare Goemon (J).gb
GB	Ganbaruga	Ganbaruga (J).gb
GB	Gargoyle's Quest - Ghosts'n Goblins	Gargoyle's Quest - Ghosts'n Goblins (UE) [!].gb
GB	Gauntlet II	Gauntlet II (U) [!].gb
GB	GB Gamejack	GB Gamejack 16M V2.00 (Unl) [!].gb
GB	GB Genjin Land - Viva Chikkun Oukoku	GB Genjin Land - Viva Chikkun Oukoku (J) [!].gb
GB	Gear Works	Gear Works (U) [!].gb
GB	Gem Gem	Gem Gem (J).gb
GB	Genjin Cottu	Genjin Cottu (J) [S].gb
GB	George Foreman's KO Boxing	George Foreman's KO Boxing (U) [!].gb
GB	Getaway, The	Getaway, The (U).gb
GB	Ghostbusters II	Ghostbusters II (UE) [!].gb
GB	Ginga	Ginga (J).gb
GB	Go Go Ackman	Go Go Ackman (J) [S].gb
GB	Go! Go! Tank	Go! Go! Tank (U) [!].gb
GB	Goal!	Goal! (U) [!].gb
GB	God Medicine	God Medicine (J).gb
GB	Godzilla	Godzilla (U) [!].gb
GB	Golf	Golf (W) [!].gb
GB	Gradius - The Interstellar Assault	Nemesis II - The Return of the Hero (E) [!].gb
GB	Grand Prix	Grand Prix (UE) [!].gb
GB	Great Greed	Great Greed (U) [!].gb
GB	Gremlins 2 - The New Batch	Gremlins 2 - The New Batch (W) [!].gb
GB	Gurander Musashi RV	Gurander Musashi RV (J) [S].gb
GB	Hal Wrestling	Hal Wrestling (U) [!].gb
GB	Hammerin' Harry - Ghost Building Company	Hammerin' Harry - Ghost Building Company (U).gb
GB	Harvest Moon GB	Harvest Moon GB (U) [S][!].gb
GB	Hatris	Hatris (U).gb
GB	Heavyweight Championship Boxing	Heavyweight Championship Boxing (U) [!].gb
GB	Heiankyo Alien	Heiankyo Alien (U) [!].gb
GB	Hercules	Hercules (U) [S].gb
GB	Hercules Eikou	Hercules Eikou (J).gb
GB	Hero Shuugou!! Pinball Party	Hero Shuugou!! Pinball Party (J) [!].gb
GB	Higashio Osamu Kanshuu Pro Yakyuu Stadium '92	Higashio Osamu Kanshuu Pro Yakyuu Stadium '92 (J).gb
GB	High Stakes Gambling	High Stakes Gambling (U) [!].gb
GB	Hit the Ice	Hit the Ice (UE) [!].gb
GB	Home Alone	Home Alone (U) [!].gb
GB	Home Alone 2	Home Alone 2 (U) [!].gb
GB	Hong Kong	Hong Kong (J).gb
GB	Hook	Hook (E) [!].gb
GB	Hudson Hawk	Hudson Hawk (U) [!].gb
GB	Hugo 2	Hugo 2 (G) [S][!].gb
GB	Humans, The	Humans, The (U) [!].gb
GB	Hunchback of Notre Dame, The - Topsy Turvy Games	Hunchback of Notre Dame, The - Topsy Turvy Games (U) [S][!].gb
GB	Hunt for Red October, The	Hunt for Red October, The (U) [!].gb
GB	Hyper Lode Runner	Hyper Lode Runner (JU) [!].gb
GB	Ikari no Yousai 2	Ikari no Yousai 2 (J) [!].gb
GB	In Your Face	In Your Face (U).gb
GB	Incredible Crash Dummies, The	Incredible Crash Dummies, The (U) [!].gb
GB	Indiana Jones and the Last Crusade	Indiana Jones and the Last Crusade (UE) [!].gb
GB	Initial D Gaiden	Initial D Gaiden (J) [S][!].gb
GB	International Superstar Soccer	International Superstar Soccer (U) [S].gb
GB	Iron League	Iron League (J).gb
GB	Ishido	Ishido (U) [!].gb
GB	Itchy & Scratchy - Miniature Golf Madness	Itchy & Scratchy - Miniature Golf Madness (U).gb
GB	J.League Big Wave Soccer	Matthias Sammer Soccer (G) [S][!].gb
GB	J.League Fighting Soccer	J.League Fighting Soccer (J).gb
GB	J.League Live '95	J.League Live '95 (J) [S].gb
GB	J.League Winning Goal	J.League Winning Goal (J) [!].gb
GB	Jack Nicklaus Golf	Jack Nicklaus Golf (U) [!].gb
GB	James Bond 007	James Bond 007 (U) [S][!].gb
GB	Jankenman	Jankenman (J).gb
GB	Jeep Jamboree	Jeep Jamboree (U) [!].gb
GB	Jelly Boy	Jelly Boy (U).gb
GB	Jeopardy!	Jeopardy! (U) [!].gb
GB	Jetsons, The	Jetsons, The (U).gb
GB	Jimmy Connors Tennis	Jimmy Connors Tennis (UE) [!].gb
GB	Joe & Mac	Joe & Mac (U) [!].gb
GB	Jordan vs Bird - One-on-One	Jordan vs Bird - One-on-One (U).gb
GB	Joshua	Joshua (Unl) [!].gb
GB	Judge Dredd	Judge Dredd (U) [!].gb
GB	Jungle Book, The	Jungle Book, The (U) [!].gb
GB	Jungle Strike	Jungle Strike (U).gb
GB	Jungle Wars	Jungle Wars (J).gb
GB	Jurassic Park	Jurassic Park (U) [!].gb
GB	Jurassic Park 2 - The Chaos Continues	Jurassic Park 2 - The Chaos Continues (UE) (M4) [!].gb
GB	Kaeruno Tameni	Kaeruno Tameni (J) [!].gb
GB	Karamucho Ziken	Karamucho Ziken (J) [S].gb
GB	Kattobi Road	Kattobi Road (J).gb
GB	Ken Griffey Jr. Presents Major League Baseball	Ken Griffey Jr. Presents Major League Baseball (U) [S][!].gb
GB	Kid Dracula	Kid Dracula (U) [!].gb
GB	Kid Icarus - Of Myths and Monsters	Kid Icarus - Of Myths and Monsters (UE) [!].gb
GB	Killer Instinct	Killer Instinct (U) [S][!].gb
GB	King James Bible	King James Bible (Unl) [!].gb
GB	King of Fighters '95, The	King of Fighters '95, The (U) [S][!].gb
GB	King of Fighters, The - Heat of Battle	King of Fighters, The - Heat of Battle (E).gb
GB	Kingdom Crusade	Kingdom Crusade (U) [!].gb
GB	Kinnikuman DM	Kinnikuman DM (J).gb
GB	Kirby's Block Ball	Kirby's Block Ball (U) [S][!].gb
GB	Kirby's Dream Land	Kirby's Dream Land (UE) [!].gb
GB	Kirby's Dream Land 2	Kirby's Dream Land 2 (U) [S][!].gb
GB	Kirby's Pinball Land	Kirby's Pinball Land (U) [!].gb
GB	Kirby's Star Stacker	Kirby's Star Stacker (U) [S][!].gb
GB	Kitarou	Kitarou (J) [S].gb
GB	Kiteretu Zyuraki	Kiteretu Zyuraki (J).gb
GB	Klax	Klax (U) [M][!].gb
GB	Knight Quest	Knight Quest (U).gb
GB	Koi Wa Kakehiki	Koi Wa Kakehiki (J).gb
GB	Konami GB Collection Vol.1	Konami Collection 1 (J) [S].gb
GB	Konami GB Collection Vol.2	Konami Collection 4 (J) [S].gb
GB	Konami GB Collection Vol.3	Konami Collection 2 (J) [S].gb
GB	Korodice	Korodice (J).gb
GB	Kumano Putaru	Kumano Putaru (J) [S].gb
GB	Kung-Fu Master	Kung-Fu Master (U).gb
GB	Kuusou Kagaku Sekai Gulliver Boy - Kuusou Kagaku Puzzle Purittopon!!	Kuusou Kagaku Sekai Gulliver Boy - Kuusou Kagaku Puzzle Purittopon!! (J) [S].gb
GB	Kwirk	Kwirk (UE) [!].gb
GB	Labyrinth (PD)	Labyrinth (PD).gb
GB	Lamborghini American Challenge	Lamborghini American Challenge (U) [!].gb
GB	Last Action Hero	Last Action Hero (U) [!].gb
GB	Lawnmower Man, The	Lawnmower Man, The (U) [!].gb
GB	Lazlos' Leap	Lazlos' Leap (U) [!].gb
GB	Legend of the River King GB	Legend of the River King GB (U) [S][!].gb
GB	Legend of Zelda, The - Link's Awakening	Legend of Zelda, The - Link's Awakening (U) (V1.0) [!].gb
GB	Lemmings	Lemmings (U) [!].gb
GB	Lemmings 2 - The Tribes	Lemmings 2 - The Tribes (U) [!].gb
GB	Les Aventures De TinTin - Le Temple du Soleil	Les Aventures De TinTin - Le Temple du Soleil (E) (M3) [M].gb
GB	Lethal Weapon	Lethal Weapon (U) [!].gb
GB	Lingo	Lingo (E) (M4) [!].gb
GB	Lion King, The	Lion King, The (U) [!].gb
GB	Little Indian in Big City	Little Indian in Big City (U) [S].gb
GB	Little Mermaid, The	Little Mermaid, The (U) [!].gb
GB	Lock 'N Chase	Lock 'N Chase (JU) [!].gb
GB	Looney Tunes	Looney Tunes (U) [!].gb
GB	Loopz	Loopz (U).gb
GB	Lost World, The - Jurassic Park	Lost World, The - Jurassic Park (U) [S][!].gb
GB	Lucky Luke	Lucky Luke (E) (M4) [M].gb
GB	Lucle	Lucle (J).gb
GB	Lunar Lander	Lunar Lander (J).gb
GB	Madden '95	Madden '95 (UE) [S][!].gb
GB	Madden '96	Madden '96 (U) [S][!].gb
GB	Madden '97	Madden '97 (U) [S][!].gb
GB	Magic Ball	Magic Ball (Unl).gb
GB	Magic Maze	Magic Maze (Sachen) [!].gb
GB	Magical Talulutokun - Raiba Zone Panic	Magical Talulutokun - Raiba Zone Panic (J).gb
GB	Magical Tower	Magical Tower (Sachen 4-in-1 Vol. 5) (Unl) [!].gb
GB	Magnetic Soccer	Magnetic Soccer (U).gb
GB	Mahou Kishi Rayearth	Mahou Kishi Rayearth (J) [S].gb
GB	Mahou Kishi Rayearth 2nd - The Missing Colors	Mahou Kishi Rayearth 2nd - The Missing Colors (J) [S].gb
GB	Makaimura Gaiden	Makaimura Gaiden (J).gb
GB	Malibu Beach Volleyball	Malibu Beach Volleyball (U) [!].gb
GB	Marble Madness	Marble Madness (U) [!].gb
GB	Mario's Picross	Mario's Picross (UE) [S][!].gb
GB	Mario's Picross 2	Mario's Picross 2 (J) [S].gb
GB	Maru's Mission	Maru's Mission (U) [!].gb
GB	Masakari Densetsu Kintarou ACG	Masakari Densetsu Kintarou ACG (J).gb
GB	Master Karateka	Master Karateka (J).gb
GB	Maus, Die	Maus, Die (E) (M4) [M].gb
GB	Max	Max (UE) [!].gb
GB	Megalit	Megalit (U) [!].gb
GB	Megaman - Dr. Wily's Revenge	Megaman - Dr. Wily's Revenge (U) [!].gb
GB	Megaman II	Megaman II (U) [!].gb
GB	Megaman III	Megaman III (U) [!].gb
GB	Megaman IV	Megaman IV (U) [!].gb
GB	Megaman V	Megaman V (U) [S][!].gb
GB	Mercenary Force	Mercenary Force (UE) [!].gb
GB	Metal Masters	Metal Masters (U).gb
GB	Metroid II - Return of Samus	Metroid II - Return of Samus (W) [!].gb
GB	Mickey Mouse - Magic Wand	Mickey Mouse - Magic Wand (U) [S][!].gb
GB	Mickey Mouse - Tokyo Disneyland	Mickey Mouse - Tokyo Disneyland (J) [S].gb
